UMTS,748,10,19240,69018424,0,-55.7734,-34.675,3349,25,1,1458924408,1743659205,0
UMTS,748,10,19220,68886509,134,-56.1945,-34.901,1311,11,1,1459223209,1754541037,0
UMTS,748,10,19730,68973382,139,-56.3775,-32.5196,5223,27,1,1483500782,1749880757,0
UMTS,748,10,19730,68952909,35,-56.4628,-33.015,7047,26,1,1484270631,1750225544,0
UMTS,748,10,19240,69057716,0,-55.2523,-34.7882,1474,15,1,1427062044,1743659266,0
LTE,748,1,108,516098,0,-56.1676,-34.8981,1000,20,1,1431180614,1758887462,0
LTE,748,1,101,513538,0,-56.1944,-34.9028,1000,8,1,1439330090,1747258442,0
LTE,748,1,108,574981,0,-56.1652,-34.895,1000,19,1,1440128689,1758887462,0
GSM,748,1,9,251,0,-56.1819,-34.8739,1954,22,1,1446587359,1734159082,0
LTE,748,1,110,530177,0,-56.2159,-34.8598,1000,11,1,1446730828,1773863942,0
UMTS,748,10,19240,69027882,0,-56.6903,-34.3438,4118,9,1,1451761477,1746253524,0
LTE,748,1,110,578561,0,-56.2236,-34.843,870,26,1,1458598211,1773863942,0
LTE,748,1,129,587522,0,-56.1869,-34.905,500,50,1,1458598212,1758888002,0
LTE,748,1,129,564482,0,-56.1752,-34.9002,1123,50,1,1458598212,1758887642,0
LTE,748,1,101,551426,0,-56.1967,-34.9024,1000,23,1,1458598206,1747258442,0
LTE,748,1,108,523009,0,-56.1595,-34.8912,7285,41,1,1458598209,1758887462,0
LTE,748,1,101,518144,0,-56.1984,-34.9076,500,50,1,1458598206,1758835382,0
LTE,748,1,129,512770,0,-56.1864,-34.9033,500,50,1,1458598212,1758888001,0
LTE,748,1,101,551424,0,-56.1943,-34.8998,500,50,1,1458598206,1747258442,0
LTE,748,1,101,515328,0,-56.1999,-34.9036,911,44,1,1458598206,1747258442,0
LTE,748,1,110,579329,0,-56.2107,-34.8357,1133,30,1,1458598211,1773863942,0
LTE,748,1,115,543490,0,-56.1932,-34.8848,1000,12,1,1458598211,1773863942,0
LTE,748,1,129,526848,0,-56.1784,-34.9015,629,50,1,1458598212,1758887641,0
LTE,748,1,129,587520,0,-56.1852,-34.9053,500,50,1,1458598212,1758888001,0
GSM,748,1,9,253,0,-56.1813,-34.8736,3251,24,1,1458817273,1734159064,0
GSM,748,1,9,5773,0,-56.1961,-34.8401,8154,24,1,1455359172,1747467699,0
GSM,748,1,9,601,0,-56.193,-34.8714,2630,21,1,1458817273,1741501565,0
GSM,748,1,14,1254,0,-55.971,-31.7142,4330,22,1,1458817274,1735972895,0
GSM,748,1,25,2732,0,-56.1712,-34.7942,4650,25,1,1458817277,1748330913,0
GSM,748,1,26,8862,0,-56.1856,-34.8495,9028,22,1,1458817277,1741416786,0
GSM,748,1,41,1966,0,-56.251,-34.4016,21465,26,1,1458817278,1738750702,0
GSM,748,1,42,1151,0,-56.6511,-34.2933,18594,25,1,1458817278,1739947406,0
GSM,748,1,9,771,0,-56.1696,-34.8761,1673,21,1,1458817273,1748410141,0
GSM,748,1,25,5182,0,-56.1465,-34.7986,7068,25,1,1454283879,1745646083,0
GSM,748,1,24,471,0,-56.1425,-34.8903,5460,25,1,1458817276,1741157394,0
GSM,748,1,27,1025,0,-55.9712,-34.8258,4198,26,1,1458817277,1742883441,0
GSM,748,1,26,3312,0,-56.2131,-34.8458,3803,21,1,1458817277,1737182698,0
GSM,748,1,26,3311,0,-56.1892,-34.8483,5291,26,1,1458817277,1737182698,0
GSM,748,1,31,11,0,-55.7468,-34.737,12976,25,1,1458817278,1745467423,0
GSM,748,1,42,5876,0,-56.7497,-34.5462,10786,23,1,1458817279,1736404971,0
GSM,748,1,54,4402,0,-55.5476,-30.9064,3475,24,1,1458817279,1741330476,0
GSM,748,1,14,1255,0,-55.9783,-31.7206,4093,24,1,1458817274,1735972895,0
GSM,748,1,21,1332,0,-56.3341,-34.7513,8645,25,1,1458817276,1737441528,0
GSM,748,1,21,1061,0,-56.1994,-34.7281,9212,24,1,1458817276,1750138996,0
GSM,748,1,26,8861,0,-56.2328,-34.8386,9029,25,1,1458817277,1741157383,0
GSM,748,1,27,2092,0,-55.8449,-34.7576,22489,25,1,1452236426,1737441560,0
GSM,748,1,10,5753,0,-56.1633,-34.8632,8498,24,1,1458817273,1734159064,0
GSM,748,1,16,141,0,-54.9521,-34.902,6858,24,1,1458817275,1736577784,0
GSM,748,1,24,9872,0,-56.1102,-34.8966,4372,50,1,1458817277,1738219201,0
GSM,748,1,31,1302,0,-55.4595,-34.7917,16153,17,1,1458817278,1738750720,0
GSM,748,1,42,1682,0,-56.3479,-34.6308,8326,24,1,1458817278,1747629668,0
GSM,748,1,42,1401,0,-56.3653,-34.4588,24034,21,1,1458817278,1740638583,0
GSM,748,1,42,5874,0,-56.7073,-34.346,8543,26,1,1458817279,1735886203,0
GSM,748,1,42,1153,0,-56.7083,-34.3394,5921,26,1,1458817278,1739947406,0
GSM,748,1,42,3436,0,-56.7366,-34.5589,9170,26,1,1458817278,1736404971,0
GSM,748,1,52,1122,0,-58.0592,-32.3274,2954,23,1,1458817279,1733639661,0
GSM,748,1,14,1256,0,-55.9846,-31.7173,3345,26,1,1458817274,1735972895,0
GSM,748,1,24,9871,0,-56.1059,-34.8923,1874,21,1,1458817277,1734849366,0
GSM,748,1,26,8863,0,-56.2425,-34.8625,5447,22,1,1458817277,1741416786,0
GSM,748,1,31,50363,0,-55.7499,-34.72,12540,25,1,1458817278,1745467423,0
GSM,748,1,31,2255,0,-55.5785,-34.7699,6099,23,1,1452493968,1739687229,0
GSM,748,1,27,2945,0,-56.0804,-34.7538,6657,25,1,1455079535,1745904189,0
GSM,748,1,42,1403,0,-56.3928,-34.4586,7221,25,1,1458817278,1740638583,0
GSM,748,1,41,2483,0,-56.0028,-34.4499,21359,25,1,1458817278,1744436709,0
